drg_code,drg_description,total_discharges,num_hospitals,avg_charges,avg_medicare_payment,avg_charge_gap
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,550306,2713,72249.75,14608.51,57641.24
291,HEART FAILURE AND SHOCK WITH MCC,324750,2677,47891.74,9473.74,38418.0
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,275104,2768,60450.49,15985.21,44465.28
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,120805,2448,51735.02,9302.5,42432.52
872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,97731,2222,43010.33,7113.8,35896.52
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,84253,1371,81757.29,12878.88,68878.41
189,PULMONARY EDEMA AND RESPIRATORY FAILURE,83197,2060,52682.62,9264.16,43418.46
378,GASTROINTESTINAL HEMORRHAGE WITH CC,81443,1922,44148.99,6939.39,37209.6
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",80913,1872,66140.99,11939.62,54201.37
392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",80767,1930,36295.0,5243.19,31051.81
682,RENAL FAILURE WITH MCC,80406,2007,57675.71,11002.3,46673.41
690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,78931,2039,33410.09,5483.44,27926.65
853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,77133,1836,196010.5,38511.4,157499.1
683,RENAL FAILURE WITH CC,74764,1997,36910.99,6185.73,30725.26
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,71974,1776,50187.7,7089.38,43098.33
689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,71501,1896,45816.32,8075.93,37740.39
640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",69330,1867,51527.33,9528.79,41998.54
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,66851,1561,82726.37,14556.73,68169.64
698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,65574,1706,64327.21,11976.64,52350.57
481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,62695,1761,87090.14,14826.93,72263.2
