provider_state,num_hospitals,total_discharges,avg_charges,avg_medicare_payment,markup_ratio
NV,21,44707,148332.9,14709.54,10.08
FL,165,436704,105431.93,12631.53,8.35
CO,48,47615,130000.88,16239.48,8.01
NJ,63,172430,114000.25,15793.76,7.22
TX,263,342475,106680.76,14984.35,7.12
CA,275,432034,145924.12,20962.61,6.96
PA,136,224826,96777.21,14393.09,6.72
AL,73,74188,77284.56,11772.78,6.56
AZ,60,89536,99181.4,15238.32,6.51
KS,44,53590,84971.03,13388.86,6.35
AK,8,8792,125407.97,20135.71,6.23
OK,72,72687,81234.56,13218.43,6.15
SC,53,90155,82797.98,13658.66,6.06
GA,93,131939,83847.75,14356.56,5.84
TN,75,122130,76057.83,13070.59,5.82
LA,77,63934,66406.19,11817.63,5.62
DC,6,17469,129905.71,23359.33,5.56
KY,62,75719,72774.48,13219.47,5.51
VA,70,152746,75040.75,13692.11,5.48
IN,80,113992,72280.21,13308.47,5.43
MS,51,59370,64950.0,12110.97,5.36
IL,119,227277,74571.62,14145.01,5.27
WA,45,85794,88394.52,16975.48,5.21
MO,66,109264,70646.84,13779.25,5.13
NY,131,332074,99813.89,19643.01,5.08
OH,120,177762,62799.98,12809.15,4.9
NM,27,18895,73879.55,15232.55,4.85
VT,6,9806,44372.28,9200.82,4.82
SD,16,21056,77918.69,16377.85,4.76
ID,14,16305,71260.79,15008.24,4.75
IA,32,47770,57075.67,12282.29,4.65
WV,23,39536,54760.42,11777.71,4.65
AR,44,60534,55308.66,12138.93,4.56
WI,65,67167,62894.14,14016.36,4.49
NC,82,159098,63226.88,14126.72,4.48
NE,24,31772,70327.71,15741.19,4.47
NH,13,24012,67197.14,15175.23,4.43
CT,26,57411,68944.52,17241.82,4.0
HI,12,10231,78333.25,19607.39,4.0
MI,87,148665,57312.16,14348.95,3.99
DE,6,26664,60321.91,15512.82,3.89
MN,47,71655,70514.85,18259.03,3.86
ME,17,14107,57192.02,14909.36,3.84
UT,31,24124,66331.47,17654.79,3.76
OR,32,36296,68587.4,18421.44,3.72
ND,7,18113,53143.64,14675.32,3.62
MT,11,15598,49894.13,14607.87,3.42
RI,9,14092,43374.97,13301.34,3.26
WY,10,6626,50376.46,15959.78,3.16
MA,54,179590,50995.15,17470.95,2.92
MD,44,130770,27424.8,23229.09,1.18
