provider_name,provider_city,provider_state,drg_code,drg_description,total_discharges,hospital_charge,national_avg_charge,charge_multiple,hospital_medicare_pmt
Stanford Health Care,Stanford,CA,196,INTERSTITIAL LUNG DISEASE WITH MCC,26,1563431.77,90018.5,17.37,179902.31
Stanford Health Care,Stanford,CA,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,13,2267939.92,173289.35,13.09,251576.46
Stanford Health Care,Stanford,CA,299,PERIPHERAL VASCULAR DISORDERS WITH MCC,27,804506.48,70618.16,11.39,88820.63
Ascension St Vincent Hospital,Indianapolis,IN,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,13,1742267.46,164425.45,10.6,622214.31
Temple University Hospital,Philadelphia,PA,196,INTERSTITIAL LUNG DISEASE WITH MCC,30,802138.23,90018.5,8.91,50846.23
Capital Health Regional Medical Center,Trenton,NJ,100,SEIZURES WITH MCC,15,723127.6,89283.8,8.1,25173.27
Capital Health Medical Center - Hopewell,Pennington,NJ,310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,12,209506.17,25883.18,8.09,3483.58
Magee Womens Hospital Of Upmc Health System,Pittsburgh,PA,314,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,11,687509.82,85667.0,8.03,11490.36
Stanford Health Care,Stanford,CA,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,21,947826.76,118775.05,7.98,90856.48
Capital Health Regional Medical Center,Trenton,NJ,291,HEART FAILURE AND SHOCK WITH MCC,64,375487.73,47891.74,7.84,14200.39
Carepoint Health-Christ Hospital,Jersey City,NJ,690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,11,261069.55,33410.09,7.81,8526.55
Capital Health Medical Center - Hopewell,Pennington,NJ,812,RED BLOOD CELL DISORDERS WITHOUT MCC,19,304733.47,39529.88,7.71,6403.58
Capital Health Medical Center - Hopewell,Pennington,NJ,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,19,487807.21,64327.21,7.58,16425.53
Carepoint Health-Christ Hospital,Jersey City,NJ,291,HEART FAILURE AND SHOCK WITH MCC,45,361515.2,47891.74,7.55,13171.89
Carepoint Health - Bayonne Medical Center,Bayonne,NJ,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,22,270020.05,36239.93,7.45,8569.73
