provider_state,drg_code,drg_description,total_discharges,avg_charges,avg_medicare_payment
AK,454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,66,568910.08,52906.83
AK,853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,185,293166.94,54251.53
AK,266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,73,274091.74,57653.16
AK,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,114,250359.09,29189.31
AK,468,REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,66,228293.95,21347.24
AL,220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,111,352292.86,30895.06
AL,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,162,272731.93,50449.95
AL,652,KIDNEY TRANSPLANT,69,258144.33,20036.93
AL,235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,154,193730.07,33312.14
AL,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,582,169546.98,18448.43
AR,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,85,194892.38,47748.14
AR,274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,713,86509.57,19866.24
AR,330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,451,66360.45,14663.1
AR,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,760,51714.3,11127.33
AR,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",1106,45000.93,9209.49
